KEY,age,hh_head_yn,sex
uuid:43ff8dd3-f9b7-421f-946e-6f97f6a9f73a,34.18876061283228,yes,Female
uuid:43ff8dd3-f9b7-421f-946e-6f97f6a9f73a,24.276752220061283,no,Male
uuid:43ff8dd3-f9b7-421f-946e-6f97f6a9f73a,11.438399095317676,no,Female
uuid:43ff8dd3-f9b7-421f-946e-6f97f6a9f73a,17.08866403730162,no,Male
uuid:43ff8dd3-f9b7-421f-946e-6f97f6a9f73a,13.399465494558777,no,Male
uuid:43ff8dd3-f9b7-421f-946e-6f97f6a9f73a,26.688532047102356,no,Female
uuid:43ff8dd3-f9b7-421f-946e-6f97f6a9f73a,24.395880283582578,no,Female
uuid:43ff8dd3-f9b7-421f-946e-6f97f6a9f73a,20.36717085717249,no,Female
uuid:43ff8dd3-f9b7-421f-946e-6f97f6a9f73a,16.71394050907208,no,Female
uuid:43ff8dd3-f9b7-421f-946e-6f97f6a9f73a,35.97279038919712,no,Male
uuid:43ff8dd3-f9b7-421f-946e-6f97f6a9f73a,28.038483693301167,no,Male
uuid:0f57057a-c462-4747-bebc-5fbdbe3423a9,26.665936223840266,yes,Male
uuid:23b83c1d-8fe9-4fc4-b900-540b7cd5f647,19.107654440019843,yes,Male
uuid:b7a499fa-6b95-4a2d-9444-030d3f7dda29,21.625138527817672,yes,Female
uuid:b7a499fa-6b95-4a2d-9444-030d3f7dda29,27.643518767546425,no,Male
uuid:b7a499fa-6b95-4a2d-9444-030d3f7dda29,0.6010469126722544,no,Female
uuid:352cbc90-0a43-4980-a8eb-fc5d40f7a028,59.26240094458927,yes,Male
uuid:352cbc90-0a43-4980-a8eb-fc5d40f7a028,50.42040619521476,no,Female
uuid:352cbc90-0a43-4980-a8eb-fc5d40f7a028,27.735118655512817,no,Male
uuid:352cbc90-0a43-4980-a8eb-fc5d40f7a028,27.51622503741725,no,Female
uuid:352cbc90-0a43-4980-a8eb-fc5d40f7a028,42.63436577510684,no,Male
uuid:352cbc90-0a43-4980-a8eb-fc5d40f7a028,4.94464261963894,no,Female
uuid:4c01d338-41f5-492d-9061-c707d8f7f001,40.20979267718314,yes,Female
